normalization,top4_same,score_GOV,score_CONN,score_SKILL,score_AFFORD,score_TRUST,score_ADOPT,rank_GOV,rank_CONN,rank_SKILL,rank_AFFORD,rank_TRUST,rank_ADOPT
spectral,1,0.8990601760586032,0.963321141632871,1.0,0.24858434972502252,0.7194895861553061,0.8295307893132038,3,2,1,6,5,4
row,1,0.8704830448251752,1.0,0.9979503795496889,0.39000824604211237,0.785702386213595,0.9681085985605229,4,1,2,6,5,3
