vote_rule,top4_same,top4,score_GOV,score_CONN,score_SKILL,score_AFFORD,score_TRUST,score_ADOPT,rank_GOV,rank_CONN,rank_SKILL,rank_AFFORD,rank_TRUST,rank_ADOPT
majority,1,ADOPT ; CONN ; GOV ; SKILL,0.8990601760586032,0.963321141632871,1.0,0.24858434972502252,0.7194895861553061,0.8295307893132038,3,2,1,6,5,4
unanimity,1,ADOPT ; CONN ; GOV ; SKILL,0.9438372851598475,0.8877449978849198,1.0,0.19364438732772546,0.6661173400174133,0.7188929741324588,2,3,1,6,5,4
